%time,field.header.seq,field.header.stamp,field.header.frame_id,field.utc_time,field.latitude,field.longitude,field.depth,field.altitude,field.roll,field.pitch,field.heading,field.fwd_velocity,field.stbd_velocity,field.dwn_velocity,field.fwd_ang_rate,field.stbd_ang_rate,field.dwn_ang_rate,field.sound_velocity,field.temperature,field.position_quality,field.heading_quality,field.velocity_quality,field.error,field.mode,field.heading_valid,field.altitude_valid,field.velocity_valid,field.depth_valid,field.sound_velocity_valid,field.temperature_valid,field.position_valid,field.utc_time_valid
1652282688811749049,1830,1652282688811749049,world,1652282688.797535,51.24576379079372,-2.423146264627576,13.052,0.0,-1.3199999999999998,-3.377,207.9825,-0.03,-0.011,-0.012,-0.19799999999999998,-0.363,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688826714176,1831,1652282688826714176,world,1652282688.8175359,51.24576379079372,-2.423146264627576,13.052,0.0,-1.309,-3.3714999999999997,207.9825,-0.029,-0.011,-0.013000000000000001,-0.077,0.605,-0.011,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688851690340,1832,1652282688851690340,world,1652282688.837535,51.24576379079372,-2.423146264627576,13.052,0.0,-1.3145,-3.3604999999999996,207.9825,-0.03,-0.008,-0.012,-0.09899999999999999,0.16499999999999998,0.011,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688866706632,1833,1652282688866706632,world,1652282688.8575358,51.24576379079372,-2.423146264627576,13.052,0.0,-1.3199999999999998,-3.3714999999999997,207.9825,-0.03,-0.01,-0.011,0.6489999999999999,-0.528,0.022,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688891696146,1834,1652282688891696146,world,1652282688.8775349,51.24576379079372,-2.423146264627576,13.051,0.0,-1.309,-3.377,207.988,-0.03,-0.011,-0.014,0.825,0.132,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688911692636,1835,1652282688911692636,world,1652282688.897536,51.24576383270323,-2.423146264627576,13.051,0.0,-1.3145,-3.3659999999999997,207.9825,-0.029,-0.009000000000000001,-0.014,-0.407,0.5389999999999999,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688926724985,1836,1652282688926724985,world,1652282688.9175348,51.24576383270323,-2.423146264627576,13.051,0.0,-1.3199999999999998,-3.3659999999999997,207.9825,-0.03,-0.008,-0.012,-0.638,-0.5499999999999999,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688951693824,1837,1652282688951693824,world,1652282688.937536,51.24576383270323,-2.423146264627576,13.05,0.0,-1.3199999999999998,-3.377,207.9825,-0.03,-0.011,-0.013000000000000001,-0.187,-0.39599999999999996,-0.022,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688966688718,1838,1652282688966688718,world,1652282688.957535,51.24576383270323,-2.423146180808544,13.05,0.0,-1.309,-3.3714999999999997,207.9825,-0.029,-0.011,-0.014,0.05499999999999999,0.594,-0.022,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282688986707734,1839,1652282688986707734,world,1652282688.977536,51.24576383270323,-2.423146180808544,13.05,0.0,-1.3145,-3.3604999999999996,207.9825,-0.03,-0.008,-0.013000000000000001,0.033,0.38499999999999995,-0.044,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282689011713221,1840,1652282689011713221,world,1652282688.997535,51.24576383270323,-2.423146180808544,13.05,0.0,-1.3145,-3.3714999999999997,207.9825,-0.031,-0.009000000000000001,-0.012,0.473,-0.473,-0.011,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282689026696813,1841,1652282689026696813,world,1652282689.0175369,51.24576383270323,-2.423146180808544,13.049,0.0,-1.309,-3.377,207.9825,-0.03,-0.01,-0.014,0.6599999999999999,0.066,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282689051686067,1842,1652282689051686067,world,1652282689.037535,51.24576383270323,-2.423146180808544,13.049,0.0,-1.3145,-3.3659999999999997,207.9825,-0.029,-0.009000000000000001,-0.015,-0.374,0.583,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282689071698031,1843,1652282689071698031,world,1652282689.057536,51.24576383270323,-2.423146180808544,13.049,0.0,-1.3145,-3.3604999999999996,207.9825,-0.03,-0.007,-0.013000000000000001,-0.6489999999999999,-0.32999999999999996,0.044,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282689091682887,1844,1652282689091682887,world,1652282689.077535,51.24576383270323,-2.423146180808544,13.048,0.0,-1.3145,-3.3714999999999997,207.9825,-0.03,-0.011,-0.012,0.044,-0.748,0.0,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
1652282689111687427,1845,1652282689111687427,world,1652282689.0975358,51.24576383270323,-2.423146180808544,13.048,0.0,-1.2979999999999998,-3.377,207.9825,-0.029,-0.01,-0.013000000000000001,0.264,0.32999999999999996,-0.033,1449.3899999999999,13.75,0.4854747951030731,0.125,0.02,0,1,1,0,1,1,0,1,1,1
